CO_NCM,Categoria,Espécie
16059000,Conservas,Outros
16056900,Conservas,Outros
16056300,Conservas,Outros
16056200,Conservas,Ouriços
16056100,Conservas,Outros
16055900,Conservas,Outros
16055800,Conservas,Outros
16055700,Conservas,Vieiras e Abalones 
16055600,Conservas,Outros
16055500,Conservas,Polvos
16055400,Conservas,Sépias e Lulas
16055300,Conservas,Mexilhões
16055200,Conservas,Vieiras e Abalones 
16055100,Conservas,Ostras
16054000,Conservas,Outros
16053000,Conservas,Lagostas
16052900,Conservas,Camarões
16052100,Conservas,Camarões
16052000,Conservas,Camarões
16051000,Conservas,Caranguejos
16043200,Conservas,Caviar
16043100,Conservas,Caviar
16043000,Conservas,Caviar
16042090,Conservas,Outros
16042030,Conservas,Sardinhas e Sardinelas
16042020,Conservas,Atuns e Afins
16042010,Conservas,Atuns e Afins
16041900,Conservas,Outros
16041800,Conservas,Tubarões e Raias
16041700,Conservas,Enguias
16041600,Conservas,Anchovas
16041500,Conservas,Cavalinhas
16041430,Conservas,Atuns e Afins
16041420,Conservas,Atuns e Afins
16041410,Conservas,Atuns e Afins
16041390,Conservas,Sardinhas e Sardinelas
16041310,Conservas,Sardinhas e Sardinelas
16041200,Conservas,Arenques
16041100,Conservas,Salmões e Trutas
03089000,Outros Invertebrados ,Outros
03083000,Outros Invertebrados ,Ouriços
03082900,Outros Invertebrados ,Ouriços
03082200,Outros Invertebrados ,Ouriços
03082100,Outros Invertebrados ,Ouriços
03081900,Outros Invertebrados ,Pepinos-do-Mar
03081200,Outros Invertebrados ,Pepinos-do-Mar
03081100,Outros Invertebrados ,Pepinos-do-Mar
03079900,Moluscos ,Outros
03079200,Moluscos ,Outros
03079100,Moluscos ,Outros
03078900,Moluscos ,Vieiras e Abalones 
03078800,Moluscos ,Outros
03078700,Moluscos ,Vieiras e Abalones 
03078400,Moluscos ,Outros
03078300,Moluscos ,Vieiras e Abalones 
03078200,Moluscos ,Outros
03078100,Moluscos ,Vieiras e Abalones 
03077900,Moluscos ,Outros
03077200,Moluscos ,Outros
03077100,Moluscos ,Outros
03076000,Moluscos ,Outros
03075990,Moluscos ,Polvos
03075920,Moluscos ,Polvos
